date,meal_period,dish_name,prepared_qty,sold_qty,unit_price,unit_cost,weather,event_name,footfall
2026-06-04,dinner,牛肉面,80,68,14,6.0,hot,,345
2026-06-05,lunch,番茄炒蛋,100,100,8,3.0,rainy,,360
2026-06-05,lunch,红烧茄子,90,75,7,2.5,rainy,,360
2026-06-05,lunch,辣子鸡,120,120,12,5.0,rainy,,360
2026-06-05,lunch,牛肉面,80,80,14,6.0,rainy,,360
2026-06-05,dinner,番茄炒蛋,100,100,8,3.0,rainy,,360
2026-06-05,dinner,红烧茄子,90,75,7,2.5,rainy,,360
2026-06-05,dinner,辣子鸡,120,120,12,5.0,rainy,,360
2026-06-05,dinner,牛肉面,80,80,14,6.0,rainy,,360
2026-06-06,lunch,番茄炒蛋,100,83,8,3.0,sunny,,300
2026-06-06,lunch,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-06,lunch,辣子鸡,120,98,12,5.0,sunny,,300
2026-06-06,lunch,牛肉面,80,66,14,6.0,sunny,,300
2026-06-06,dinner,番茄炒蛋,100,83,8,3.0,sunny,,300
2026-06-06,dinner,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-06,dinner,辣子鸡,120,98,12,5.0,sunny,,300
2026-06-06,dinner,牛肉面,80,66,14,6.0,sunny,,300
2026-06-07,lunch,番茄炒蛋,100,90,8,3.0,sunny,,315
2026-06-07,lunch,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-07,lunch,辣子鸡,120,107,12,5.0,sunny,,315
2026-06-07,lunch,牛肉面,80,71,14,6.0,sunny,,315
2026-06-07,dinner,番茄炒蛋,100,90,8,3.0,sunny,,315
2026-06-07,dinner,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-07,dinner,辣子鸡,120,107,12,5.0,sunny,,315
2026-06-07,dinner,牛肉面,80,71,14,6.0,sunny,,315
2026-06-08,lunch,番茄炒蛋,100,80,8,3.0,sunny,,330
2026-06-08,lunch,红烧茄子,90,72,7,2.5,sunny,,330
2026-06-08,lunch,辣子鸡,120,95,12,5.0,sunny,,330
2026-06-08,lunch,牛肉面,80,63,14,6.0,sunny,,330
2026-06-08,dinner,番茄炒蛋,100,80,8,3.0,sunny,,330
2026-06-08,dinner,红烧茄子,90,72,7,2.5,sunny,,330
2026-06-08,dinner,辣子鸡,120,95,12,5.0,sunny,,330
2026-06-08,dinner,牛肉面,80,63,14,6.0,sunny,,330
2026-06-09,lunch,番茄炒蛋,100,87,8,3.0,sunny,社团活动,345
2026-06-09,lunch,红烧茄子,90,75,7,2.5,sunny,社团活动,345
2026-06-09,lunch,辣子鸡,120,120,12,5.0,sunny,社团活动,345
2026-06-09,lunch,牛肉面,80,69,14,6.0,sunny,社团活动,345
2026-06-09,dinner,番茄炒蛋,100,87,8,3.0,sunny,社团活动,345
2026-06-09,dinner,红烧茄子,90,75,7,2.5,sunny,社团活动,345
2026-06-09,dinner,辣子鸡,120,120,12,5.0,sunny,社团活动,345
2026-06-09,dinner,牛肉面,80,69,14,6.0,sunny,社团活动,345
2026-06-10,lunch,番茄炒蛋,100,94,8,3.0,hot,,360
2026-06-10,lunch,红烧茄子,90,75,7,2.5,hot,,360
2026-06-10,lunch,辣子鸡,120,112,12,5.0,hot,,360
2026-06-10,lunch,牛肉面,80,74,14,6.0,hot,,360
2026-06-10,dinner,番茄炒蛋,100,94,8,3.0,hot,,360
2026-06-10,dinner,红烧茄子,90,75,7,2.5,hot,,360
2026-06-10,dinner,辣子鸡,120,112,12,5.0,hot,,360
2026-06-10,dinner,牛肉面,80,74,14,6.0,hot,,360
2026-06-11,lunch,番茄炒蛋,100,84,8,3.0,hot,,300
2026-06-11,lunch,红烧茄子,90,75,7,2.5,hot,,300
2026-06-11,lunch,辣子鸡,120,100,12,5.0,hot,,300
2026-06-11,lunch,牛肉面,80,66,14,6.0,hot,,300
2026-06-11,dinner,番茄炒蛋,100,84,8,3.0,hot,,300
2026-06-11,dinner,红烧茄子,90,75,7,2.5,hot,,300
2026-06-11,dinner,辣子鸡,120,100,12,5.0,hot,,300
2026-06-11,dinner,牛肉面,80,66,14,6.0,hot,,300
2026-06-12,lunch,番茄炒蛋,100,100,8,3.0,rainy,,315
2026-06-12,lunch,红烧茄子,90,75,7,2.5,rainy,,315
2026-06-12,lunch,辣子鸡,120,120,12,5.0,rainy,,315
2026-06-12,lunch,牛肉面,80,80,14,6.0,rainy,,315
2026-06-12,dinner,番茄炒蛋,100,100,8,3.0,rainy,,315
2026-06-12,dinner,红烧茄子,90,75,7,2.5,rainy,,315
2026-06-12,dinner,辣子鸡,120,120,12,5.0,rainy,,315
2026-06-12,dinner,牛肉面,80,80,14,6.0,rainy,,315
2026-06-13,lunch,番茄炒蛋,100,81,8,3.0,sunny,,330
2026-06-13,lunch,红烧茄子,90,73,7,2.5,sunny,,330
2026-06-13,lunch,辣子鸡,120,96,12,5.0,sunny,,330
2026-06-13,lunch,牛肉面,80,64,14,6.0,sunny,,330
2026-06-13,dinner,番茄炒蛋,100,81,8,3.0,sunny,,330
2026-06-13,dinner,红烧茄子,90,73,7,2.5,sunny,,330
2026-06-13,dinner,辣子鸡,120,96,12,5.0,sunny,,330
2026-06-13,dinner,牛肉面,80,64,14,6.0,sunny,,330
2026-06-14,lunch,番茄炒蛋,100,88,8,3.0,sunny,,345
2026-06-14,lunch,红烧茄子,90,75,7,2.5,sunny,,345
2026-06-14,lunch,辣子鸡,120,104,12,5.0,sunny,,345
2026-06-14,lunch,牛肉面,80,70,14,6.0,sunny,,345
2026-06-14,dinner,番茄炒蛋,100,88,8,3.0,sunny,,345
2026-06-14,dinner,红烧茄子,90,75,7,2.5,sunny,,345
2026-06-14,dinner,辣子鸡,120,104,12,5.0,sunny,,345
2026-06-14,dinner,牛肉面,80,70,14,6.0,sunny,,345
2026-06-15,lunch,番茄炒蛋,100,78,8,3.0,sunny,,360
2026-06-15,lunch,红烧茄子,90,70,7,2.5,sunny,,360
2026-06-15,lunch,辣子鸡,120,113,12,5.0,sunny,,360
2026-06-15,lunch,牛肉面,80,75,14,6.0,sunny,,360
2026-06-15,dinner,番茄炒蛋,100,78,8,3.0,sunny,,360
2026-06-15,dinner,红烧茄子,90,70,7,2.5,sunny,,360
2026-06-15,dinner,辣子鸡,120,113,12,5.0,sunny,,360
2026-06-15,dinner,牛肉面,80,75,14,6.0,sunny,,360
2026-06-16,lunch,番茄炒蛋,100,85,8,3.0,sunny,,300
2026-06-16,lunch,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-16,lunch,辣子鸡,120,101,12,5.0,sunny,,300
2026-06-16,lunch,牛肉面,80,67,14,6.0,sunny,,300
2026-06-16,dinner,番茄炒蛋,100,85,8,3.0,sunny,,300
2026-06-16,dinner,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-16,dinner,辣子鸡,120,101,12,5.0,sunny,,300
2026-06-16,dinner,牛肉面,80,67,14,6.0,sunny,,300
2026-06-17,lunch,番茄炒蛋,100,92,8,3.0,hot,,315
2026-06-17,lunch,红烧茄子,90,75,7,2.5,hot,,315
2026-06-17,lunch,辣子鸡,120,109,12,5.0,hot,,315
2026-06-17,lunch,牛肉面,80,73,14,6.0,hot,,315
2026-06-17,dinner,番茄炒蛋,100,92,8,3.0,hot,,315
2026-06-17,dinner,红烧茄子,90,75,7,2.5,hot,,315
2026-06-17,dinner,辣子鸡,120,109,12,5.0,hot,,315
2026-06-17,dinner,牛肉面,80,73,14,6.0,hot,,315
2026-06-18,lunch,番茄炒蛋,100,82,8,3.0,hot,,330
2026-06-18,lunch,红烧茄子,90,74,7,2.5,hot,,330
2026-06-18,lunch,辣子鸡,120,97,12,5.0,hot,,330
2026-06-18,lunch,牛肉面,80,65,14,6.0,hot,,330
2026-06-18,dinner,番茄炒蛋,100,82,8,3.0,hot,,330
2026-06-18,dinner,红烧茄子,90,74,7,2.5,hot,,330
2026-06-18,dinner,辣子鸡,120,97,12,5.0,hot,,330
2026-06-18,dinner,牛肉面,80,65,14,6.0,hot,,330
2026-06-19,lunch,番茄炒蛋,100,100,8,3.0,rainy,,345
2026-06-19,lunch,红烧茄子,90,75,7,2.5,rainy,,345
2026-06-19,lunch,辣子鸡,120,118,12,5.0,rainy,,345
2026-06-19,lunch,牛肉面,80,80,14,6.0,rainy,,345
2026-06-19,dinner,番茄炒蛋,100,100,8,3.0,rainy,,345
2026-06-19,dinner,红烧茄子,90,75,7,2.5,rainy,,345
2026-06-19,dinner,辣子鸡,120,118,12,5.0,rainy,,345
2026-06-19,dinner,牛肉面,80,80,14,6.0,rainy,,345
2026-06-20,lunch,番茄炒蛋,100,79,8,3.0,sunny,,360
2026-06-20,lunch,红烧茄子,90,71,7,2.5,sunny,,360
2026-06-20,lunch,辣子鸡,120,94,12,5.0,sunny,,360
2026-06-20,lunch,牛肉面,80,62,14,6.0,sunny,,360
2026-06-20,dinner,番茄炒蛋,100,79,8,3.0,sunny,,360
2026-06-20,dinner,红烧茄子,90,71,7,2.5,sunny,,360
2026-06-20,dinner,辣子鸡,120,94,12,5.0,sunny,,360
2026-06-20,dinner,牛肉面,80,62,14,6.0,sunny,,360
2026-06-21,lunch,番茄炒蛋,100,86,8,3.0,sunny,,300
2026-06-21,lunch,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-21,lunch,辣子鸡,120,102,12,5.0,sunny,,300
2026-06-21,lunch,牛肉面,80,68,14,6.0,sunny,,300
2026-06-21,dinner,番茄炒蛋,100,86,8,3.0,sunny,,300
2026-06-21,dinner,红烧茄子,90,75,7,2.5,sunny,,300
2026-06-21,dinner,辣子鸡,120,102,12,5.0,sunny,,300
2026-06-21,dinner,牛肉面,80,68,14,6.0,sunny,,300
2026-06-22,lunch,番茄炒蛋,100,93,8,3.0,sunny,,315
2026-06-22,lunch,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-22,lunch,辣子鸡,120,110,12,5.0,sunny,,315
2026-06-22,lunch,牛肉面,80,74,14,6.0,sunny,,315
2026-06-22,dinner,番茄炒蛋,100,93,8,3.0,sunny,,315
2026-06-22,dinner,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-22,dinner,辣子鸡,120,110,12,5.0,sunny,,315
2026-06-22,dinner,牛肉面,80,74,14,6.0,sunny,,315
2026-06-23,lunch,番茄炒蛋,100,83,8,3.0,sunny,社团活动,330
2026-06-23,lunch,红烧茄子,90,75,7,2.5,sunny,社团活动,330
2026-06-23,lunch,辣子鸡,120,116,12,5.0,sunny,社团活动,330
2026-06-23,lunch,牛肉面,80,66,14,6.0,sunny,社团活动,330
2026-06-23,dinner,番茄炒蛋,100,83,8,3.0,sunny,社团活动,330
2026-06-23,dinner,红烧茄子,90,75,7,2.5,sunny,社团活动,330
2026-06-23,dinner,辣子鸡,120,116,12,5.0,sunny,社团活动,330
2026-06-23,dinner,牛肉面,80,66,14,6.0,sunny,社团活动,330
2026-06-24,lunch,番茄炒蛋,100,90,8,3.0,hot,,345
2026-06-24,lunch,红烧茄子,90,75,7,2.5,hot,,345
2026-06-24,lunch,辣子鸡,120,107,12,5.0,hot,,345
2026-06-24,lunch,牛肉面,80,71,14,6.0,hot,,345
2026-06-24,dinner,番茄炒蛋,100,90,8,3.0,hot,,345
2026-06-24,dinner,红烧茄子,90,75,7,2.5,hot,,345
2026-06-24,dinner,辣子鸡,120,107,12,5.0,hot,,345
2026-06-24,dinner,牛肉面,80,71,14,6.0,hot,,345
2026-06-25,lunch,番茄炒蛋,100,80,8,3.0,hot,,360
2026-06-25,lunch,红烧茄子,90,72,7,2.5,hot,,360
2026-06-25,lunch,辣子鸡,120,95,12,5.0,hot,,360
2026-06-25,lunch,牛肉面,80,63,14,6.0,hot,,360
2026-06-25,dinner,番茄炒蛋,100,80,8,3.0,hot,,360
2026-06-25,dinner,红烧茄子,90,72,7,2.5,hot,,360
2026-06-25,dinner,辣子鸡,120,95,12,5.0,hot,,360
2026-06-25,dinner,牛肉面,80,63,14,6.0,hot,,360
2026-06-26,lunch,番茄炒蛋,100,97,8,3.0,rainy,,300
2026-06-26,lunch,红烧茄子,90,75,7,2.5,rainy,,300
2026-06-26,lunch,辣子鸡,120,116,12,5.0,rainy,,300
2026-06-26,lunch,牛肉面,80,80,14,6.0,rainy,,300
2026-06-26,dinner,番茄炒蛋,100,97,8,3.0,rainy,,300
2026-06-26,dinner,红烧茄子,90,75,7,2.5,rainy,,300
2026-06-26,dinner,辣子鸡,120,116,12,5.0,rainy,,300
2026-06-26,dinner,牛肉面,80,80,14,6.0,rainy,,300
2026-06-27,lunch,番茄炒蛋,100,94,8,3.0,sunny,,315
2026-06-27,lunch,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-27,lunch,辣子鸡,120,112,12,5.0,sunny,,315
2026-06-27,lunch,牛肉面,80,74,14,6.0,sunny,,315
2026-06-27,dinner,番茄炒蛋,100,94,8,3.0,sunny,,315
2026-06-27,dinner,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-27,dinner,辣子鸡,120,112,12,5.0,sunny,,315
2026-06-27,dinner,牛肉面,80,74,14,6.0,sunny,,315
2026-06-28,lunch,番茄炒蛋,100,84,8,3.0,sunny,,330
2026-06-28,lunch,红烧茄子,90,75,7,2.5,sunny,,330
2026-06-28,lunch,辣子鸡,120,100,12,5.0,sunny,,330
2026-06-28,lunch,牛肉面,80,66,14,6.0,sunny,,330
2026-06-28,dinner,番茄炒蛋,100,84,8,3.0,sunny,,330
2026-06-28,dinner,红烧茄子,90,75,7,2.5,sunny,,330
2026-06-28,dinner,辣子鸡,120,100,12,5.0,sunny,,330
2026-06-28,dinner,牛肉面,80,66,14,6.0,sunny,,330
2026-06-29,lunch,番茄炒蛋,100,91,8,3.0,sunny,,345
2026-06-29,lunch,红烧茄子,90,75,7,2.5,sunny,,345
2026-06-29,lunch,辣子鸡,120,108,12,5.0,sunny,,345
2026-06-29,lunch,牛肉面,80,72,14,6.0,sunny,,345
2026-06-29,dinner,番茄炒蛋,100,91,8,3.0,sunny,,345
2026-06-29,dinner,红烧茄子,90,75,7,2.5,sunny,,345
2026-06-29,dinner,辣子鸡,120,108,12,5.0,sunny,,345
2026-06-29,dinner,牛肉面,80,72,14,6.0,sunny,,345
2026-06-30,lunch,番茄炒蛋,100,81,8,3.0,sunny,,360
2026-06-30,lunch,红烧茄子,90,73,7,2.5,sunny,,360
2026-06-30,lunch,辣子鸡,120,96,12,5.0,sunny,,360
2026-06-30,lunch,牛肉面,80,64,14,6.0,sunny,,360
2026-06-30,dinner,番茄炒蛋,100,81,8,3.0,sunny,,360
2026-06-30,dinner,红烧茄子,90,73,7,2.5,sunny,,360
2026-06-30,dinner,辣子鸡,120,96,12,5.0,sunny,,360
2026-06-30,dinner,牛肉面,80,64,14,6.0,sunny,,360
